PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
2023-06-06,P,15,16,20,21,29,30,31,35,40,45,50,52,53,56,58,62,64,67,69,70
2023-06-05,P,2,5,6,7,8,10,12,13,24,31,33,36,43,46,50,52,53,60,68,70
2023-06-04,P,2,7,9,13,18,28,29,35,37,38,39,41,42,45,46,48,54,55,56,58
2023-06-03,P,3,7,10,19,23,26,30,31,35,36,37,38,40,52,55,62,63,67,68,70
2023-06-02,P,4,10,11,17,18,19,21,23,25,28,33,40,41,42,47,50,61,62,63,68
2023-06-01,P,5,12,18,27,32,33,34,35,36,40,44,46,50,51,57,58,61,63,65,67
2023-05-31,P,2,3,7,14,19,20,25,26,35,37,38,39,40,47,54,56,57,62,64,66
2023-05-30,P,1,3,4,6,7,8,12,19,21,28,30,31,33,44,49,51,54,58,68,70
2023-05-29,P,1,4,7,8,14,18,20,28,30,34,35,40,42,44,50,59,60,67,69,70
2023-05-28,P,3,10,18,23,30,32,34,37,41,44,47,48,53,54,55,58,60,66,69,70
2023-05-27,P,1,4,7,8,14,15,17,22,24,28,30,42,49,57,58,61,63,65,67,68
2023-05-26,P,2,3,6,8,10,13,22,24,25,26,30,34,37,44,46,47,48,50,51,63
2023-05-25,P,7,8,11,19,20,32,33,35,38,39,41,42,45,46,56,59,60,64,66,67
2023-05-24,P,2,3,13,19,20,22,32,34,36,40,42,47,49,50,56,59,61,65,69,70
2023-05-23,P,3,8,10,12,13,15,20,22,24,29,30,34,38,40,41,44,46,49,63,69
2023-05-22,P,2,8,9,10,11,13,16,24,27,32,42,46,54,55,60,62,63,64,66,67
2023-05-21,P,4,8,12,18,21,22,23,24,28,29,31,32,42,43,44,45,50,57,65,67
2023-05-20,P,5,9,13,16,17,21,23,24,25,28,29,37,44,47,48,49,54,63,65,67
2023-05-19,P,4,5,19,20,21,23,24,25,27,30,32,35,41,45,47,60,63,64,65,68
2023-05-18,P,2,3,4,7,18,19,24,28,31,32,34,36,40,45,49,51,54,57,64,68
2023-05-17,P,5,10,13,15,16,23,25,27,28,29,30,32,34,40,48,52,62,66,68,69
2023-05-16,P,3,4,6,10,13,17,19,20,25,30,38,40,49,51,52,56,57,59,64,69
2023-05-15,P,1,5,10,13,16,17,22,24,30,31,32,33,38,45,51,54,56,57,59,68
2023-05-14,P,4,6,11,13,17,18,26,32,36,37,39,40,43,47,48,49,57,64,66,69
2023-05-13,P,1,5,6,7,12,18,20,24,33,34,39,40,46,50,55,57,58,62,68,70
2023-05-12,P,2,3,12,13,16,20,23,26,30,31,32,39,41,43,45,46,50,51,69,70
2023-05-11,P,1,2,7,13,14,16,22,28,33,35,36,37,38,49,51,52,53,54,63,66
2023-05-10,P,6,7,8,11,15,20,24,26,32,35,38,39,42,48,53,54,56,59,63,69
2023-05-09,P,1,8,9,10,13,15,19,23,25,26,27,31,32,33,35,39,43,46,55,61
2023-05-08,P,2,3,8,22,25,30,31,32,37,39,40,45,47,48,52,53,54,56,60,68
2023-05-07,P,1,6,15,19,22,24,25,30,32,37,39,40,41,45,46,47,62,66,67,68
2023-05-06,P,5,7,12,13,15,17,18,22,23,24,25,29,34,36,38,46,56,61,62,64
2023-05-05,P,4,7,13,14,19,20,22,24,28,31,36,41,47,54,57,58,62,65,67,69
2023-05-04,P,1,6,12,17,22,26,27,31,32,36,38,40,46,48,53,54,60,62,64,68
2023-05-03,P,8,15,17,21,23,24,25,26,31,32,34,36,39,40,48,52,53,54,58,63
2023-05-02,P,4,6,8,9,12,15,20,21,28,31,32,34,37,50,51,52,53,58,63,65
2023-05-01,P,2,3,6,9,18,21,26,27,31,32,34,46,47,49,53,58,61,62,63,64
2023-04-30,P,1,2,3,5,6,14,17,25,30,37,38,45,47,49,50,56,60,62,64,68
2023-04-29,P,2,3,6,10,11,14,16,21,32,33,34,39,49,57,59,63,65,66,67,70
2023-04-28,P,5,10,16,17,18,22,25,30,36,42,48,52,53,55,57,61,63,65,68,70
2023-04-27,P,1,4,6,8,11,16,25,28,32,33,38,39,40,45,47,51,56,60,64,68
2023-04-26,P,2,6,12,17,23,27,31,32,34,35,37,39,41,42,50,57,58,65,66,70
2023-04-25,P,1,3,15,17,22,37,39,40,42,44,46,47,48,49,51,55,57,60,64,66
2023-04-24,P,1,6,10,14,15,18,19,21,22,24,26,28,30,32,44,46,49,50,58,60
2023-04-23,P,1,4,5,8,11,12,21,23,33,36,40,48,54,59,61,63,64,67,68,70
2023-04-22,P,8,19,21,26,28,30,31,34,40,47,50,52,57,58,60,61,63,65,67,70
2023-04-21,P,10,11,13,17,19,20,21,28,31,32,34,39,43,44,54,60,63,64,68,69
2023-04-20,P,1,3,10,14,16,18,20,30,31,34,37,39,49,55,56,57,59,60,63,64
2023-04-19,P,1,3,5,7,9,10,12,19,20,21,33,35,36,44,46,50,61,64,65,67
2023-04-18,P,2,6,8,17,20,21,22,28,33,35,37,45,47,51,53,54,60,65,66,69
2023-04-17,P,2,3,5,7,10,19,22,29,37,41,43,48,52,53,58,61,62,63,65,68
2023-04-16,P,1,5,6,10,24,28,32,33,36,39,40,47,51,53,62,63,64,65,66,68
2023-04-15,P,1,3,5,8,12,16,20,21,22,25,26,29,30,44,47,51,52,56,59,70
