PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
Sep 22 2020,M,8,10,11,12,20,23,26,27,28,29,31,37,40,45,46,50,58,59,60,70
Sep 21 2020,M,1,6,9,11,21,24,30,37,43,44,48,51,53,54,55,58,59,60,61,67
Sep 20 2020,M,1,4,5,10,19,20,21,23,28,29,30,31,40,41,44,45,50,54,63,64
Sep 19 2020,M,1,2,5,9,10,22,24,26,29,32,33,41,42,52,53,56,58,59,62,68
Sep 18 2020,M,1,5,9,22,23,28,31,32,35,42,48,51,52,53,54,58,59,65,67,68
Sep 17 2020,M,1,2,3,13,15,16,19,20,23,27,36,38,39,45,47,48,51,52,53,62
Sep 16 2020,M,1,7,10,13,18,29,33,34,36,39,40,45,46,51,52,55,58,60,65,67
Sep 15 2020,M,2,9,11,23,25,31,38,41,46,47,53,55,57,63,64,65,66,67,69,70
Sep 14 2020,M,7,10,20,21,26,28,29,30,31,37,38,39,40,41,51,53,55,58,61,69
Sep 13 2020,M,11,14,25,26,31,32,34,39,40,42,47,51,52,56,59,60,62,63,65,69
Sep 12 2020,M,5,7,8,11,17,20,21,22,23,25,27,36,39,46,55,62,63,65,66,68
Sep 11 2020,M,1,13,15,19,20,21,23,31,32,35,40,42,46,49,54,56,59,61,64,67
Sep 10 2020,M,3,4,15,19,24,25,34,42,46,49,52,53,54,55,58,60,63,65,66,70
Sep 09 2020,M,11,15,21,22,23,25,26,27,31,32,36,43,47,52,53,56,57,60,61,69
Sep 08 2020,M,1,6,8,19,23,28,32,34,36,38,40,42,46,49,51,53,57,61,65,68
Sep 07 2020,M,1,4,5,19,21,22,25,32,33,36,38,39,45,49,51,53,56,58,68,69
Sep 06 2020,M,7,14,17,19,21,25,26,27,30,31,40,44,45,49,50,52,53,65,67,70
Sep 05 2020,M,2,3,9,18,24,28,32,36,41,43,44,49,55,57,61,65,66,67,69,70
Sep 04 2020,M,5,10,12,15,16,18,23,29,30,35,36,37,41,42,46,49,50,63,67,69
Sep 03 2020,M,6,11,12,13,17,19,27,36,38,39,40,42,45,46,53,54,57,61,64,69
